time,Wind speed 100 Hz,RH,Air temperature,Leaf Wetness,Soil conductivity_25cm,Soil conductivity_15cm,Soil conductivity_5cm,Soil temperature_25cm,Soil temperature_15cm,Soil temperature_5cm,Soil moisture_25cm,Soil moisture_15cm,Soil moisture_5cm,Precipitation,Pyranometer
2022-07-27 17:20:00+03:00,1.305319,29.97253,35.55886,0,1447.985,1689.265,2426.525,26.71443,31.3246,45.24563,11.80021,9.938886,1.623875,0,534.0658
2022-07-27 17:30:00+03:00,1.131232,31.06355,35.06676,0,1449.548,1690.246,2406.103,26.84422,31.52882,44.89797,11.77952,9.926491,1.621842,0,506.5995
2022-07-27 17:40:00+03:00,0.968484,30.84611,35.70001,0,1447.971,1687.838,2395.948,26.87019,31.51619,44.54574,11.78543,9.945084,1.627946,0,483.711
2022-07-27 17:50:00+03:00,1.637485,29.75128,34.77683,0,1449.93,1692.125,2384.154,26.92781,31.7075,43.70346,11.78543,9.929589,1.636106,0,215.7244
2022-07-27 18:00:00+03:00,1.121894,32.78782,34.44495,0,1451.109,1691.5,2365.725,27.07786,31.73304,42.68004,11.77361,9.929589,1.656612,0,410.4677
2022-07-27 18:10:00+03:00,1.229948,33.59274,34.09018,0,1450.319,1690.873,2349.087,27.03741,31.73951,41.6901,11.77952,9.935788,1.673127,0,387.5792
2022-07-27 18:20:00+03:00,1.544772,34.49683,34.06348,0,1449.907,1691.768,2339.157,27.10381,31.72085,41.28421,11.78543,9.929589,1.684538,0,365.2628
2022-07-27 18:30:00+03:00,1.618809,33.74914,33.91852,0,1452.277,1693.828,2321.044,27.28553,31.8291,40.53762,11.77066,9.923392,1.70331,0,330.9301
2022-07-27 18:40:00+03:00,1.788894,34.05814,33.25475,0,1451.087,1692.484,2317.767,27.26534,31.93725,39.8459,11.77952,9.929589,1.713792,0,300.0305
2022-07-27 18:50:00+03:00,1.404702,36.39658,33.27764,0,1451.079,1692.304,2294.935,27.29129,31.88018,39.07832,11.78839,9.938886,1.734872,0,262.2644
2022-07-27 19:00:00+03:00,1.378022,36.28977,32.79697,0,1453.46,1694.367,2296.56,27.41533,31.8992,38.44165,11.77657,9.941986,1.743347,0,230.9834
2022-07-27 19:10:00+03:00,1.48074,37.57534,32.27436,0,1453.048,1693.554,2286.83,27.44129,31.93725,37.75936,11.77952,9.954395,1.753976,0,195.6969
2022-07-27 19:20:00+03:00,1.598799,37.91867,31.79752,0,1452.623,1692.92,2265.882,27.4932,31.88669,37.10065,11.7943,9.945084,1.76785,0,165.7511
