timestamp,pH,ORP,total_coli,BOD,COD,NO3,temperature
2022-07-22 11:01:56.654000+00:00,,285.8,,,,,
2022-07-22 11:17:11.670000+00:00,,,2523.32,,,,
2022-07-22 11:32:12.070000+00:00,,,,0.0,,,
2022-07-22 11:47:11.893000+00:00,,,,,0.0,,
2022-07-22 12:01:56.558000+00:00,,,,,,4.1,
2022-07-22 13:16:56.462000+00:00,8.009999,,,,,,
2022-07-22 13:32:11.651000+00:00,,282.4,,,,,
2022-07-22 13:47:11.866000+00:00,,,2534.84,,,,
2022-07-22 14:01:56.384000+00:00,,,,0.0,,,
2022-07-22 14:17:11.436000+00:00,,,,,0.0,,
2022-07-22 14:31:56.352000+00:00,,,,,,4.5,
2022-07-22 15:47:11.279000+00:00,7.969999,,,,,,
2022-07-22 16:17:11.394000+00:00,,,2489.99,,,,
2022-07-22 16:32:11.472000+00:00,,,,0.0,,,
2022-07-22 16:47:11.577000+00:00,,,,,0.0,,
2022-07-22 17:02:11.556000+00:00,,,,,,5.0,
2022-07-22 18:32:10.998000+00:00,,285.2,,,,,
2022-07-22 18:46:55.896000+00:00,,,2653.73,,,,
2022-07-22 19:01:55.630000+00:00,,,,0.0,,,
2022-07-22 19:16:55.586000+00:00,,,,,0.0,,
2022-07-22 19:32:10.894000+00:00,,,,,,5.2,
2022-07-22 20:46:55.665000+00:00,7.929999,,,,,,
2022-07-22 21:01:55.413000+00:00,,284.1,,,,,
2022-07-22 21:31:55.377000+00:00,,,,0.0,,,
2022-07-22 21:47:10.774000+00:00,,,,,0.0,,
2022-07-22 22:01:55.549000+00:00,,,,,,5.1,
2022-07-22 23:31:55.365000+00:00,,284.7,,,,,
2022-07-23 00:01:55.078000+00:00,,,,0.0,,,
2022-07-23 00:16:55.044000+00:00,,,,,0.0,,
2022-07-23 00:32:10.321000+00:00,,,,,,4.8,
2022-07-23 01:46:55.119000+00:00,7.959999,,,,,,
2022-07-23 02:02:10.167000+00:00,,282.1,,,,,
2022-07-23 02:16:55.051000+00:00,,,2587.9,,,,
2022-07-23 02:32:10.098000+00:00,,,,0.0,,,
2022-07-23 03:02:10.035000+00:00,,,,,,4.6,
2022-07-23 04:16:54.835000+00:00,7.949999,,,,,,
2022-07-23 05:02:10.088000+00:00,,,,0.0,,,
2022-07-23 05:17:10.049000+00:00,,,,,0.0,,
2022-07-23 06:46:54.320000+00:00,7.969999,,,,,,
2022-07-23 07:02:09.764000+00:00,,281.6,,,,,
2022-07-23 07:16:54.519000+00:00,,,2724.32,,,,
2022-07-23 07:32:09.553000+00:00,,,,0.0,,,
2022-07-23 09:16:54.061000+00:00,7.969999,,,,,,
2022-07-23 09:31:54.016000+00:00,,281.9,,,,,
2022-07-23 10:02:09.528000+00:00,,,,0.0,,,
2022-07-23 10:16:54.202000+00:00,,,,,0.0,,
2022-07-23 10:32:09.234000+00:00,,,,,,3.6,
2022-07-23 11:47:09.523000+00:00,7.979999,,,,,,
2022-07-23 12:01:54.021000+00:00,,280.9,,,,,
2022-07-23 12:31:53.768000+00:00,,,,0.0,,,
2022-07-23 12:47:09.076000+00:00,,,,,0.0,,
2022-07-23 13:02:09.273000+00:00,,,,,,3.5,
2022-07-23 13:17:09.393000+00:00,,,,,,,0.41
2022-07-23 14:17:09.147000+00:00,7.969999,,,,,,
2022-07-23 14:32:09.280000+00:00,,281.6,,,,,
2022-07-23 15:02:08.958000+00:00,,,,0.0,,,
2022-07-23 15:31:53.719000+00:00,,,,,,3.9,
2022-07-23 17:01:53.556000+00:00,,283.8,,,,,
2022-07-23 17:16:53.285000+00:00,,,2776.579,,,,
2022-07-23 17:46:53.230000+00:00,,,,,0.0,,
2022-07-23 18:01:53.202000+00:00,,,,,,4.3,
2022-07-23 19:17:08.366000+00:00,7.979999,,,,,,
2022-07-23 19:32:08.746000+00:00,,284.7,,,,,
2022-07-23 19:46:53.242000+00:00,,,3124.82,,,,
2022-07-23 20:01:52.976000+00:00,,,,0.0,,,
2022-07-23 20:16:52.957000+00:00,,,,,0.0,,
2022-07-23 20:32:08.242000+00:00,,,,,,4.0,
2022-07-23 21:46:53.022000+00:00,7.979999,,,,,,
2022-07-23 22:01:52.728000+00:00,,289.0,,,,,
2022-07-23 22:16:52.734000+00:00,,,3145.349,,,,
2022-07-23 22:47:07.964000+00:00,,,,,0.0,,
2022-07-24 00:16:52.758000+00:00,8.009999,,,,,,
2022-07-24 00:32:07.939000+00:00,,294.2,,,,,
2022-07-24 00:47:08.188000+00:00,,,3135.89,,,,
2022-07-24 01:01:52.689000+00:00,,,,0.0,,,
2022-07-24 01:17:07.700000+00:00,,,,,0.0,,
2022-07-24 03:16:52.430000+00:00,,,2920.21,,,,
2022-07-24 03:31:52.161000+00:00,,,,0.0,,,
2022-07-24 05:32:07.504000+00:00,,308.3,,,,,
2022-07-24 05:46:52.141000+00:00,,,2850.559,,,,
2022-07-24 06:16:51.838000+00:00,,,,,0.0,,
2022-07-24 06:31:51.809000+00:00,,,,,,3.3,
2022-07-24 07:46:51.934000+00:00,8.0,,,,,,
2022-07-24 08:01:51.650000+00:00,,308.9,,,,,
2022-07-24 08:31:51.843000+00:00,,,,0.0,,,
2022-07-24 08:46:51.556000+00:00,,,,,0.0,,
2022-07-24 10:16:51.414000+00:00,8.029999,,,,,,
2022-07-24 10:47:07.076000+00:00,,,2229.079,,,,
2022-07-24 11:16:51.574000+00:00,,,,,0.0,,
2022-07-24 12:46:51.438000+00:00,8.029999,,,,,,
2022-07-24 13:02:06.645000+00:00,,309.8,,,,,
2022-07-24 13:17:06.866000+00:00,,,2822.179,,,,
2022-07-24 13:32:06.835000+00:00,,,,0.0,,,
2022-07-24 13:47:06.665000+00:00,,,,,0.0,,
2022-07-24 15:16:50.965000+00:00,8.029999,,,,,,
2022-07-24 15:31:50.953000+00:00,,312.0,,,,,
2022-07-24 15:46:50.935000+00:00,,,2813.719,,,,
2022-07-24 16:02:06.197000+00:00,,,,0.0,,,
