timestamp,soil-bulk-ec0-uS/cm,soil-moisture0-%,soil-temperature0-C
2022-05-25 07:23:47.977000+00:00,81.0,11.47,21.0
2022-05-25 07:29:00.792000+00:00,82.0,11.46,21.1
2022-05-25 07:33:55.790000+00:00,81.0,11.46,21.1
2022-05-25 07:38:50.788000+00:00,83.0,11.46,21.2
2022-05-25 07:43:26.787000+00:00,81.0,11.46,21.3
2022-05-25 07:48:16.978000+00:00,82.0,11.45,21.4
2022-05-25 07:53:10.790000+00:00,82.0,11.45,21.5
2022-05-25 07:58:01.836000+00:00,82.0,11.46,21.5
2022-05-25 08:02:38.786000+00:00,82.0,11.46,21.7
2022-05-25 08:07:19.783000+00:00,83.0,11.48,21.7
2022-05-25 08:12:06.980000+00:00,82.0,11.46,21.8
2022-05-25 08:17:01.801000+00:00,81.0,11.46,21.9
2022-05-25 08:22:20.983000+00:00,83.0,11.46,22.0
2022-05-25 08:27:08.959000+00:00,82.0,11.46,22.1
2022-05-25 08:32:33.971000+00:00,83.0,11.46,22.3
2022-05-25 08:37:48.971000+00:00,82.0,11.46,22.4
2022-05-25 08:42:44.785000+00:00,83.0,11.46,22.5
2022-05-25 08:47:56.971000+00:00,83.0,11.45,22.6
2022-05-25 08:52:32.976000+00:00,82.0,11.47,22.7
2022-05-25 08:57:56.979000+00:00,82.0,11.45,22.9
2022-05-25 09:02:39.972000+00:00,83.0,11.45,23.0
2022-05-25 09:07:29.788000+00:00,83.0,11.43,23.0
2022-05-25 09:12:35.974000+00:00,81.0,11.43,23.2
2022-05-25 09:17:29.783000+00:00,83.0,11.45,23.3
2022-05-25 09:22:19.967000+00:00,81.0,11.44,23.4
2022-05-25 09:27:44.784000+00:00,82.0,11.44,23.6
2022-05-25 09:32:27.967000+00:00,82.0,11.46,23.7
2022-05-25 09:36:58.975000+00:00,82.0,11.45,23.8
2022-05-25 09:42:09.976000+00:00,82.0,11.45,24.0
2022-05-25 09:47:29.780000+00:00,82.0,11.45,24.1
2022-05-25 09:52:17.776000+00:00,82.0,11.45,24.2
2022-05-25 09:57:31.795000+00:00,82.0,11.44,24.3
2022-05-25 10:02:19.791000+00:00,82.0,11.43,24.5
2022-05-25 10:07:30.986000+00:00,82.0,11.45,24.6
2022-05-25 10:12:53.793000+00:00,83.0,11.43,24.7
2022-05-25 10:18:14.787000+00:00,83.0,11.44,24.9
2022-05-25 10:23:25.788000+00:00,83.0,11.43,25.0
2022-05-25 10:28:08.995000+00:00,81.0,11.43,25.1
