timestamp,ndvi-nir-out0-W/m2,ndvi-red-out0-W/m2,ndvi0
2022-06-11 07:05:01.008000+00:00,0.015,0.03,-0.333
2022-06-11 07:19:41.909000+00:00,0.015,0.029,-0.318
2022-06-11 07:19:41.963000+00:00,0.015,0.029,-0.318
2022-06-11 07:19:48.935000+00:00,0.015,0.029,-0.318
2022-06-11 07:19:48.994000+00:00,0.015,0.029,-0.318
2022-06-11 07:19:55.972000+00:00,0.015,0.029,-0.318
2022-06-11 07:19:56.023000+00:00,0.015,0.029,-0.318
2022-06-11 07:34:36.128000+00:00,0.021,0.042,-0.333
2022-06-11 07:34:43.160000+00:00,0.021,0.042,-0.333
2022-06-11 07:34:50.187000+00:00,0.021,0.042,-0.333
2022-06-11 07:34:50.239000+00:00,0.021,0.042,-0.333
2022-06-11 07:49:50.151000+00:00,0.018,0.036,-0.333
2022-06-11 07:49:57.222000+00:00,0.018,0.036,-0.333
2022-06-11 07:49:57.227000+00:00,0.018,0.036,-0.333
2022-06-11 07:50:04.194000+00:00,0.018,0.036,-0.333
2022-06-11 07:50:04.243000+00:00,0.018,0.036,-0.333
2022-06-11 08:05:09.958000+00:00,0.026,0.051,-0.325
2022-06-11 08:05:10.025000+00:00,0.026,0.051,-0.325
2022-06-11 08:05:16.988000+00:00,0.026,0.051,-0.325
2022-06-11 08:05:24.025000+00:00,0.026,0.051,-0.325
2022-06-11 08:05:24.076000+00:00,0.026,0.051,-0.325
2022-06-11 08:19:58.166000+00:00,0.019,0.037,-0.321
2022-06-11 08:20:05.189000+00:00,0.019,0.037,-0.321
2022-06-11 08:20:12.269000+00:00,0.019,0.037,-0.321
2022-06-11 08:20:12.270000+00:00,0.019,0.037,-0.321
2022-06-11 08:35:08.167000+00:00,0.016,0.033,-0.347
2022-06-11 08:35:08.225000+00:00,0.016,0.033,-0.347
2022-06-11 08:35:15.195000+00:00,0.016,0.033,-0.347
2022-06-11 08:35:15.256000+00:00,0.016,0.033,-0.347
2022-06-11 08:35:22.229000+00:00,0.016,0.033,-0.347
2022-06-11 08:35:22.277000+00:00,0.016,0.033,-0.347
2022-06-11 08:49:51.049000+00:00,0.021,0.043,-0.344
2022-06-11 08:49:51.050000+00:00,0.021,0.043,-0.344
2022-06-11 08:49:58.067000+00:00,0.021,0.043,-0.344
2022-06-11 08:49:58.070000+00:00,0.021,0.043,-0.344
2022-06-11 08:50:05.050000+00:00,0.021,0.043,-0.344
2022-06-11 08:50:05.093000+00:00,0.021,0.043,-0.344
2022-06-11 09:05:09.002000+00:00,0.016,0.031,-0.319
2022-06-11 09:05:09.050000+00:00,0.016,0.031,-0.319
